Nike ID,Position Name,Date,Activity Name,Total Duration,Total Player Load,Player Load Per Minute,Maximum Velocity (mph),Max Acceleration,Total Distance (y),Total IMA (Average),IMA CoD Right Medium,IMA CoD Right High,IMA CoD Left Medium,IMA CoD Left High,Velocity B4+ Total # Efforts (Gen 2),Velocity B5+ Total # Efforts (Gen 2),Velocity B6+ Total # Efforts (Gen 2),IMA Accel Medium,IMA Accel High,IMA Decel Medium,IMA Decel High,HSR Velocity Band 4 Total Distance (y),VHSR Velocity Band 5 Total Distance (y),SPR Velocity Band 6 Total Distance (y)
S530,Forward,8/12/2023,2023 - 8-12 Game vs Loyola Chi..,0.024618056,307.44539,8.6689,14.39006,3.50954,2866.25166,9,4,3,6,3,46,4,0,4,3,2,0,554.965,48.07524,4.71347
S530,Forward,8/17/2023,2023 - 8-17 game vs Cincinnati..,0.023923611,188.11063,5.45995,10.4374,3.52639,1617.44206,4,7,2,7,0,12,0,0,7,2,2,0,75.59055,0,0
S530,Forward,8/20/2023,2023 - 8-20 Game v BGSU,0.024212963,269.7758,7.73399,11.48713,3.64784,2351.18135,8,11,2,10,3,18,0,0,10,3,1,0,153.72923,0,0
S970,Defender,8/12/2023,2023 - 8-12 Game vs Loyola Chi..,0.052060185,720.39203,9.60775,14.19493,3.09974,6124.12421,6,7,0,6,2,52,6,0,16,1,3,3,717.73842,79.49475,2.64654
S970,Defender,8/17/2023,2023 - 8-17 game vs Cincinnati..,0.05005787,691.8705,9.59756,13.42075,3.1307,5791.45744,9,10,2,11,2,65,3,0,18,3,6,2,872.2769,41.24016,0
S970,Defender,8/20/2023,2023 - 8-20 Game v BGSU,0.054016204,752.25131,9.67053,13.4705,3.35442,6156.67256,12,11,1,9,2,66,3,0,22,9,6,0,741.81978,22.87839,0
S536,Forward,8/12/2023,2023 - 8-12 Game vs Loyola Chi..,0.016423611,108.96667,4.60614,10.72246,3.56099,965.1644,1,8,0,4,0,6,0,0,2,1,2,0,56.73666,0,0
S536,Forward,8/17/2023,2023 - 8-17 game vs Cincinnati..,0.023923611,132.175,3.83639,10.26322,2.74986,1375.66634,2,3,0,4,1,5,0,0,3,1,3,0,30.29309,0,0
S536,Forward,8/20/2023,2023 - 8-20 Game v BGSU,0.024212963,185.49086,5.31769,10.53249,2.77521,1879.65086,5,2,2,4,0,7,0,0,4,2,3,1,65.59493,0,0
S526,Midfielder,8/12/2023,2023 - 8-12 Game vs Loyola Chi..,0.061585648,936.43753,10.55763,15.65506,4.16982,8576.24846,14,15,5,12,4,129,13,1,14,5,10,0,1764.21696,187.1063,13.60455
S526,Midfielder,8/17/2023,2023 - 8-17 game vs Cincinnati..,0.060613426,939.04704,10.75748,15.99281,3.72599,8429.85246,8,16,3,12,0,128,16,5,18,4,6,1,1722.74712,225.63429,53.70735
S526,Midfielder,8/20/2023,2023 - 8-20 Game v BGSU,0.060081019,882.84698,10.20284,15.75577,3.66656,8289.74534,6,12,1,14,2,94,10,3,8,3,7,0,1110.54246,142.27909,45.93176
S954,Defender,8/12/2023,2023 - 8-12 Game vs Loyola Chi..,0.084293981,1156.69208,9.52874,14.63973,3.78408,11070.00451,36,37,8,22,5,136,11,1,44,23,9,0,1869.12733,142.62904,16.55731
S954,Defender,8/17/2023,2023 - 8-17 game vs Cincinnati..,0.097592593,1278.0331,9.09346,13.60919,3.26544,13092.18668,24,38,8,19,2,195,10,0,39,9,13,5,2831.46327,190.79177,0
S954,Defender,8/20/2023,2023 - 8-20 Game v BGSU,0.08474537,1053.97653,8.63585,15.41119,3.48756,11072.93714,18,34,2,24,2,140,11,5,24,9,12,5,2024.69383,149.72659,79.52756
S535,Defender,8/12/2023,2023 - 8-12 Game vs Loyola Chi..,0.035266204,445.0331,8.76185,15.26171,3.58544,3770.07259,7,7,3,12,0,46,7,1,10,2,7,2,544.07263,103.44488,22.33158
S535,Defender,8/17/2023,2023 - 8-17 game vs Cincinnati..,0.023923611,235.4933,6.83527,11.85576,3.04676,1681.91932,5,6,2,6,0,10,0,0,8,1,2,2,74.2126,0.56868,0
