Position Name,Date,Activity Name,Total Duration,Total Player Load,Player Load Per Minute,Maximum Velocity (mph),Max Acceleration,Total Distance (y),Total IMA (Average),IMA CoD Right Medium,IMA CoD Right High,IMA CoD Left Medium,IMA CoD Left High,Velocity B4+ Total # Efforts (Gen 2),Velocity B5+ Total # Efforts (Gen 2),Velocity B6+ Total # Efforts (Gen 2),IMA Accel Medium,IMA Accel High,IMA Decel Medium,IMA Decel High,HSR Velocity Band 4 Total Distance (y),VHSR Velocity Band 5 Total Distance (y),SPR Velocity Band 6 Total Distance (y)
Defender,8/4/2022,WSOC Training,1:36:20,539.75194,5.60258,16.23562,4.04976,5107.4288,10,8,3,8,1,70,16,6,12,4,5,2,784.64567,205.13998,118.07743
Defender,8/5/2022,WSOC Training,1:44:37,452.19446,4.32215,13.42074,3.61191,4129.4212,6,5,0,9,2,41,2,0,13,2,10,2,403.46676,34.82065,0
Defender,8/6/2022,WSOC ExGame vs Wright State,1:03:04,608.22198,9.64332,14.2379,4.12706,5793.42016,12,9,4,9,1,76,9,0,18,7,9,0,964.39196,117.465,3.2699
Defender,8/7/2022,WSOC Training,0:51:41,375.22354,7.25827,11.21826,2.83766,3301.49336,4,7,0,9,1,16,0,0,12,1,10,2,195.90989,0,0
Defender,8/8/2022,WSOC Training,0:35:41,326.94521,9.15868,12.48182,3.35206,2688.28552,0,1,0,5,0,89,1,0,10,0,0,0,1364.34819,11.14392,0
Defender,8/18/2022,WSOC Game at BGSU,0:42:24,363.63045,8.57309,15.85902,3.52019,3552.01141,6,6,2,1,1,53,6,1,8,3,3,0,717.7712,105.23841,27.70122
Defender,8/23/2022,WSOC Training,1:36:00,461.07364,4.80263,15.33422,3.63807,4492.53784,6,8,1,8,0,67,11,2,8,5,2,0,693.53674,184.63473,25.32808
Defender,8/24/2022,WSOC Training,1:43:06,562.6866,5.4572,14.58734,3.87337,5533.63634,13,17,3,14,3,94,12,1,15,4,9,3,895.36306,109.55818,6.69291
Defender,8/25/2022,WSOC Training LM,0:43:43,351.31887,8.03428,14.51834,3.52955,3175.01856,7,8,0,6,2,38,3,0,11,4,5,1,358.62861,37.78434,3.16054
Defender,8/25/2022,WSOC Game vs CMU,0:49:19,438.47206,8.8884,16.63533,3.42772,4283.95683,8,5,3,6,2,51,9,4,17,2,7,1,639.45755,117.83683,66.57918
Defender,8/26/2022,WSOC Training,1:33:10,590.38358,6.33651,14.30112,3.94361,5698.39186,21,19,7,10,5,93,17,0,15,8,13,1,981.846,216.59012,7.13036
Defender,8/27/2022,WSOC Training,1:11:34,492.93116,6.88738,12.84344,3.40152,4649.96786,15,9,3,10,2,47,2,0,12,5,6,5,486.17672,24.89064,0
Defender,8/28/2022,WSOC Game vs Binghamton,0:58:38,472.43317,8.05545,15.99994,3.52401,4329.59717,5,5,0,6,1,46,9,1,15,2,3,2,545.18809,192.48687,26.01706
Defender,8/30/2022,WSOC Training,2:05:47,583.70307,4.64032,16.92841,3.5305,5299.41428,17,14,2,20,8,64,9,3,11,4,8,3,752.32939,78.69641,67.979
Defender,8/31/2022,WSOC Training,1:17:02,540.17825,7.01127,13.80047,3.7153,5302.4797,10,9,1,8,1,83,11,0,4,5,4,3,897.39722,130.06343,0
Defender,9/1/2022,WSOC Game vs Dartmouth,0:35:47,308.36987,8.61717,15.36438,3.93242,2739.70063,5,0,0,2,1,37,7,1,6,4,2,0,478.87138,103.84952,22.33158
Defender,9/2/2022,WSOC Training,1:22:32,545.42625,6.60856,14.94987,3.66679,5292.93759,5,5,1,6,1,3,0,0,8,3,5,0,37.32502,0,0
Defender,9/3/2022,WSOC Training,0:55:31,248.9815,4.48378,11.93665,3.27246,2333.44004,3,6,0,5,0,0,0,0,4,1,4,2,0,0,0
Defender,9/4/2022,WSOC Game at Arkansas,0:32:21,209.42645,6.47244,14.35014,3.42027,1973.9369,6,1,2,2,1,24,1,0,6,2,1,1,280.06343,9.06605,4.0245
Defender,9/6/2022,WSOC Training,1:30:53,477.52462,5.25387,13.91293,3.94912,4521.01684,7,14,1,12,2,65,5,0,15,2,9,2,628.52144,47.58312,0
Defender,9/7/2022,WSOC Training,1:20:43,510.74416,6.32762,13.93442,3.60144,4821.50622,12,11,1,8,3,69,2,0,11,8,6,0,654.75723,57.34908,0
Defender,9/8/2022,WSOC Game vs Oakland,0:32:31,249.99678,7.68492,13.22688,3.26505,2104.26398,4,6,0,2,1,17,1,0,10,3,5,0,161.5923,6.82415,0
